colour	showSelected2	fill	group
#C49A00	Europe et Asie centrale	#C49A00	1
#00C094	Moyen orient et Magreb	#00C094	2
#A58AFF	Asie du sud	#A58AFF	3
#53B400	Amérique latine et Caraïbes	#53B400	4
#C49A00	Europe et Asie centrale	#C49A00	5
#C49A00	Europe et Asie centrale	#C49A00	6
#FB61D7	Afrique subsaharienne	#FB61D7	7
#53B400	Amérique latine et Caraïbes	#53B400	8
#F8766D	Asie de l'est et pacifique	#F8766D	9
#C49A00	Europe et Asie centrale	#C49A00	10
#F8766D	Asie de l'est et pacifique	#F8766D	11
#53B400	Amérique latine et Caraïbes	#53B400	12
#C49A00	Europe et Asie centrale	#C49A00	13
#C49A00	Europe et Asie centrale	#C49A00	14
#53B400	Amérique latine et Caraïbes	#53B400	15
#A58AFF	Asie du sud	#A58AFF	16
#C49A00	Europe et Asie centrale	#C49A00	17
#FB61D7	Afrique subsaharienne	#FB61D7	18
#C49A00	Europe et Asie centrale	#C49A00	19
#00C094	Moyen orient et Magreb	#00C094	20
#FB61D7	Afrique subsaharienne	#FB61D7	21
#FB61D7	Afrique subsaharienne	#FB61D7	22
#00B6EB	Amérique du nord	#00B6EB	23
#F8766D	Asie de l'est et pacifique	#F8766D	24
#53B400	Amérique latine et Caraïbes	#53B400	25
#53B400	Amérique latine et Caraïbes	#53B400	26
#53B400	Amérique latine et Caraïbes	#53B400	27
#A58AFF	Asie du sud	#A58AFF	28
#FB61D7	Afrique subsaharienne	#FB61D7	29
#C49A00	Europe et Asie centrale	#C49A00	30
#53B400	Amérique latine et Caraïbes	#53B400	31
#00B6EB	Amérique du nord	#00B6EB	32
#FB61D7	Afrique subsaharienne	#FB61D7	33
#FB61D7	Afrique subsaharienne	#FB61D7	34
#FB61D7	Afrique subsaharienne	#FB61D7	35
#C49A00	Europe et Asie centrale	#C49A00	36
#FB61D7	Afrique subsaharienne	#FB61D7	37
#53B400	Amérique latine et Caraïbes	#53B400	38
#FB61D7	Afrique subsaharienne	#FB61D7	39
#F8766D	Asie de l'est et pacifique	#F8766D	40
#53B400	Amérique latine et Caraïbes	#53B400	41
#53B400	Amérique latine et Caraïbes	#53B400	42
#53B400	Amérique latine et Caraïbes	#53B400	43
#FB61D7	Afrique subsaharienne	#FB61D7	44
#53B400	Amérique latine et Caraïbes	#53B400	45
#C49A00	Europe et Asie centrale	#C49A00	46
#C49A00	Europe et Asie centrale	#C49A00	47
#C49A00	Europe et Asie centrale	#C49A00	48
#00C094	Moyen orient et Magreb	#00C094	49
#C49A00	Europe et Asie centrale	#C49A00	50
#53B400	Amérique latine et Caraïbes	#53B400	51
#53B400	Amérique latine et Caraïbes	#53B400	52
#00C094	Moyen orient et Magreb	#00C094	53
#53B400	Amérique latine et Caraïbes	#53B400	54
#C49A00	Europe et Asie centrale	#C49A00	55
#00C094	Moyen orient et Magreb	#00C094	56
#FB61D7	Afrique subsaharienne	#FB61D7	57
#C49A00	Europe et Asie centrale	#C49A00	58
#FB61D7	Afrique subsaharienne	#FB61D7	59
#C49A00	Europe et Asie centrale	#C49A00	60
#F8766D	Asie de l'est et pacifique	#F8766D	61
#F8766D	Asie de l'est et pacifique	#F8766D	62
#C49A00	Europe et Asie centrale	#C49A00	63
#C49A00	Europe et Asie centrale	#C49A00	64
#FB61D7	Afrique subsaharienne	#FB61D7	65
#C49A00	Europe et Asie centrale	#C49A00	66
#53B400	Amérique latine et Caraïbes	#53B400	67
#C49A00	Europe et Asie centrale	#C49A00	68
#FB61D7	Afrique subsaharienne	#FB61D7	69
#C49A00	Europe et Asie centrale	#C49A00	70
#FB61D7	Afrique subsaharienne	#FB61D7	71
#FB61D7	Afrique subsaharienne	#FB61D7	72
#FB61D7	Afrique subsaharienne	#FB61D7	73
#C49A00	Europe et Asie centrale	#C49A00	74
#53B400	Amérique latine et Caraïbes	#53B400	75
#F8766D	Asie de l'est et pacifique	#F8766D	76
#FB61D7	Afrique subsaharienne	#FB61D7	77
#53B400	Amérique latine et Caraïbes	#53B400	78
#F8766D	Asie de l'est et pacifique	#F8766D	79
#53B400	Amérique latine et Caraïbes	#53B400	80
#C49A00	Europe et Asie centrale	#C49A00	81
#53B400	Amérique latine et Caraïbes	#53B400	82
#C49A00	Europe et Asie centrale	#C49A00	83
#F8766D	Asie de l'est et pacifique	#F8766D	84
#C49A00	Europe et Asie centrale	#C49A00	85
#00C094	Moyen orient et Magreb	#00C094	86
#C49A00	Europe et Asie centrale	#C49A00	87
#A58AFF	Asie du sud	#A58AFF	88
#00C094	Moyen orient et Magreb	#00C094	89
#00C094	Moyen orient et Magreb	#00C094	90
#C49A00	Europe et Asie centrale	#C49A00	91
#C49A00	Europe et Asie centrale	#C49A00	92
#C49A00	Europe et Asie centrale	#C49A00	93
#53B400	Amérique latine et Caraïbes	#53B400	94
#00C094	Moyen orient et Magreb	#00C094	95
#F8766D	Asie de l'est et pacifique	#F8766D	96
#FB61D7	Afrique subsaharienne	#FB61D7	97
#C49A00	Europe et Asie centrale	#C49A00	98
#F8766D	Asie de l'est et pacifique	#F8766D	99
#F8766D	Asie de l'est et pacifique	#F8766D	100
#FB61D7	Afrique subsaharienne	#FB61D7	101
#53B400	Amérique latine et Caraïbes	#53B400	102
#F8766D	Asie de l'est et pacifique	#F8766D	103
#F8766D	Asie de l'est et pacifique	#F8766D	104
#C49A00	Europe et Asie centrale	#C49A00	105
#00C094	Moyen orient et Magreb	#00C094	106
#53B400	Amérique latine et Caraïbes	#53B400	107
#C49A00	Europe et Asie centrale	#C49A00	108
#F8766D	Asie de l'est et pacifique	#F8766D	109
#00C094	Moyen orient et Magreb	#00C094	110
#53B400	Amérique latine et Caraïbes	#53B400	111
#C49A00	Europe et Asie centrale	#C49A00	112
#A58AFF	Asie du sud	#A58AFF	113
#FB61D7	Afrique subsaharienne	#FB61D7	114
#FB61D7	Afrique subsaharienne	#FB61D7	115
#C49A00	Europe et Asie centrale	#C49A00	116
#C49A00	Europe et Asie centrale	#C49A00	117
#C49A00	Europe et Asie centrale	#C49A00	118
#00C094	Moyen orient et Magreb	#00C094	119
#00C094	Moyen orient et Magreb	#00C094	120
#C49A00	Europe et Asie centrale	#C49A00	121
#C49A00	Europe et Asie centrale	#C49A00	122
#C49A00	Europe et Asie centrale	#C49A00	123
#53B400	Amérique latine et Caraïbes	#53B400	124
#FB61D7	Afrique subsaharienne	#FB61D7	125
#F8766D	Asie de l'est et pacifique	#F8766D	126
#C49A00	Europe et Asie centrale	#C49A00	127
#FB61D7	Afrique subsaharienne	#FB61D7	128
#F8766D	Asie de l'est et pacifique	#F8766D	129
#F8766D	Asie de l'est et pacifique	#F8766D	130
#F8766D	Asie de l'est et pacifique	#F8766D	131
#F8766D	Asie de l'est et pacifique	#F8766D	132
#FB61D7	Afrique subsaharienne	#FB61D7	133
#00C094	Moyen orient et Magreb	#00C094	134
#FB61D7	Afrique subsaharienne	#FB61D7	135
#A58AFF	Asie du sud	#A58AFF	136
#FB61D7	Afrique subsaharienne	#FB61D7	137
#53B400	Amérique latine et Caraïbes	#53B400	138
#F8766D	Asie de l'est et pacifique	#F8766D	139
#FB61D7	Afrique subsaharienne	#FB61D7	140
#FB61D7	Afrique subsaharienne	#FB61D7	141
#F8766D	Asie de l'est et pacifique	#F8766D	142
#FB61D7	Afrique subsaharienne	#FB61D7	143
#FB61D7	Afrique subsaharienne	#FB61D7	144
#53B400	Amérique latine et Caraïbes	#53B400	145
#C49A00	Europe et Asie centrale	#C49A00	146
#C49A00	Europe et Asie centrale	#C49A00	147
#A58AFF	Asie du sud	#A58AFF	148
#F8766D	Asie de l'est et pacifique	#F8766D	149
#00C094	Moyen orient et Magreb	#00C094	150
#53B400	Amérique latine et Caraïbes	#53B400	151
#53B400	Amérique latine et Caraïbes	#53B400	152
#F8766D	Asie de l'est et pacifique	#F8766D	153
#F8766D	Asie de l'est et pacifique	#F8766D	154
#F8766D	Asie de l'est et pacifique	#F8766D	155
#A58AFF	Asie du sud	#A58AFF	156
#C49A00	Europe et Asie centrale	#C49A00	157
#53B400	Amérique latine et Caraïbes	#53B400	158
#00C094	Moyen orient et Magreb	#00C094	159
#C49A00	Europe et Asie centrale	#C49A00	160
#F8766D	Asie de l'est et pacifique	#F8766D	161
#53B400	Amérique latine et Caraïbes	#53B400	162
#00C094	Moyen orient et Magreb	#00C094	163
#C49A00	Europe et Asie centrale	#C49A00	164
#C49A00	Europe et Asie centrale	#C49A00	165
#C49A00	Europe et Asie centrale	#C49A00	166
#FB61D7	Afrique subsaharienne	#FB61D7	167
#00C094	Moyen orient et Magreb	#00C094	168
#F8766D	Asie de l'est et pacifique	#F8766D	169
#FB61D7	Afrique subsaharienne	#FB61D7	170
#FB61D7	Afrique subsaharienne	#FB61D7	171
#C49A00	Europe et Asie centrale	#C49A00	172
#F8766D	Asie de l'est et pacifique	#F8766D	173
#C49A00	Europe et Asie centrale	#C49A00	174
#C49A00	Europe et Asie centrale	#C49A00	175
#FB61D7	Afrique subsaharienne	#FB61D7	176
#C49A00	Europe et Asie centrale	#C49A00	177
#FB61D7	Afrique subsaharienne	#FB61D7	178
#FB61D7	Afrique subsaharienne	#FB61D7	179
#53B400	Amérique latine et Caraïbes	#53B400	180
#FB61D7	Afrique subsaharienne	#FB61D7	181
#FB61D7	Afrique subsaharienne	#FB61D7	182
#53B400	Amérique latine et Caraïbes	#53B400	183
#53B400	Amérique latine et Caraïbes	#53B400	184
#00C094	Moyen orient et Magreb	#00C094	185
#FB61D7	Afrique subsaharienne	#FB61D7	186
#53B400	Amérique latine et Caraïbes	#53B400	187
#FB61D7	Afrique subsaharienne	#FB61D7	188
#FB61D7	Afrique subsaharienne	#FB61D7	189
#F8766D	Asie de l'est et pacifique	#F8766D	190
#C49A00	Europe et Asie centrale	#C49A00	191
#F8766D	Asie de l'est et pacifique	#F8766D	192
#C49A00	Europe et Asie centrale	#C49A00	193
#00C094	Moyen orient et Magreb	#00C094	194
#F8766D	Asie de l'est et pacifique	#F8766D	195
#C49A00	Europe et Asie centrale	#C49A00	196
#53B400	Amérique latine et Caraïbes	#53B400	197
#F8766D	Asie de l'est et pacifique	#F8766D	198
#FB61D7	Afrique subsaharienne	#FB61D7	199
#C49A00	Europe et Asie centrale	#C49A00	200
#FB61D7	Afrique subsaharienne	#FB61D7	201
#00B6EB	Amérique du nord	#00B6EB	202
#53B400	Amérique latine et Caraïbes	#53B400	203
#C49A00	Europe et Asie centrale	#C49A00	204
#53B400	Amérique latine et Caraïbes	#53B400	205
#53B400	Amérique latine et Caraïbes	#53B400	206
#53B400	Amérique latine et Caraïbes	#53B400	207
#F8766D	Asie de l'est et pacifique	#F8766D	208
#F8766D	Asie de l'est et pacifique	#F8766D	209
#F8766D	Asie de l'est et pacifique	#F8766D	210
#00C094	Moyen orient et Magreb	#00C094	211
#FB61D7	Afrique subsaharienne	#FB61D7	212
#FB61D7	Afrique subsaharienne	#FB61D7	213
#FB61D7	Afrique subsaharienne	#FB61D7	214
